FROM_STOP_ID,TO_STOP_ID,TRAVEL_TIME
DEP10001,DEP10001,0
DEP10001,DEP10022,518
DEP10001,DEP25005,497
DEP10001,DEP35024,131
DEP10001,DEP45024,0
DEP10001,DEP50002,131
DEP10001,STP62369,483
DEP10001,STP62829,137
DEP10001,STP63844,489
DEP10001,STP63889,504
DEP10001,STP64338,138
DEP10001,STP64718,493
DEP10001,STP65581,23
DEP10001,STP65701,498
DEP10001,STP66082,503
DEP10001,STP66121,152
DEP10001,STP66273,135
DEP10001,STP66307,47
DEP10001,STP66419,496
DEP10001,STP66572,138
DEP10001,STP66649,480
DEP10001,STP66756,505
DEP10001,STP67121,141
DEP10001,STP67261,25
DEP10001,STP67306,478
DEP10001,STP67469,151
DEP10001,STP67588,147
DEP10001,STP67689,488
DEP10001,STP67850,28
DEP10001,STP67867,486
DEP10001,STP67872,10
DEP10001,STP67962,506
DEP10001,STP68012,479
DEP10001,STP68071,22
DEP10001,STP68310,496
DEP10001,STP68366,489
DEP10001,STP68418,129
DEP10001,STP68482,13
DEP10001,STP68587,512
DEP10001,STP68664,10
DEP10001,STP68791,19
DEP10001,STP68814,16
DEP10001,STP68816,138
DEP10001,STP68819,498
DEP10001,STP68855,136
DEP10001,STP68973,19
DEP10001,STP69025,135
DEP10001,STP69112,4
DEP10001,STP69122,143
DEP10001,STP69214,493
DEP10001,STP69217,516
DEP10001,STP69242,507
DEP10001,STP69244,15
DEP10001,STP69273,514
DEP10001,STP69281,132
DEP10001,STP69288,5
DEP10001,STP69307,121
DEP10001,STP69310,487
DEP10001,STP69339,496
DEP10001,STP69342,137
DEP10001,STP69343,507
DEP10001,STP69350,13
DEP10001,STP69424,503
DEP10001,STP69459,141
DEP10001,STP69504,24
DEP10001,STP69538,490
DEP10001,STP69545,484
DEP10001,STP69566,507
DEP10001,STP69567,15
DEP10001,STP69584,502
DEP10001,STP69593,7
DEP10001,STP69598,510
DEP10001,STP69604,510
DEP10001,STP69612,512
DEP10001,STP69621,485
DEP10001,STP69625,517
DEP10001,STP69650,503
DEP10001,STP69661,513
DEP10001,STP69664,128
DEP10001,STP69668,19
DEP10001,STP69677,141
DEP10001,STP69710,4
DEP10001,STP69715,498
DEP10001,STP69759,135
DEP10001,STP69795,498
DEP10001,STP69799,508
DEP10001,STP69824,23
DEP10001,STP69828,141
DEP10001,STP69835,10
DEP10001,STP69842,504
DEP10001,STP69846,22
DEP10001,STP69857,4
DEP10001,STP69873,492
DEP10001,STP69890,140
DEP10001,STP69892,138
DEP10001,STP69894,489
DEP10001,STP69898,484
DEP10001,STP69910,501
DEP10001,STP69921,133
DEP10001,STP69923,492
DEP10001,STP69927,134
DEP10001,STP69934,500
DEP10001,STP69940,512
DEP10001,STP69943,503
DEP10001,STP69946,134
DEP10001,STP69963,494
DEP10001,STP69964,28
DEP10001,STP69973,23
DEP10001,STP69984,499
DEP10001,STP69989,131
DEP10001,STP70001,7
DEP10001,STP70008,18
DEP10001,STP70024,492
DEP10001,STP70026,14
DEP10001,STP70030,506
DEP10001,STP70055,490
DEP10001,STP70067,495
DEP10001,STP70072,16
DEP10001,STP70073,489
DEP10001,STP70076,137
DEP10001,STP70082,150
DEP10001,STP70102,517
DEP10001,STP70122,501
DEP10001,STP70144,489
DEP10001,STP70151,25
DEP10001,STP70173,489
DEP10001,STP70178,10
DEP10001,STP70189,12
DEP10001,STP70197,491
DEP10001,STP70200,514
DEP10001,STP70202,510
DEP10001,STP70203,504
DEP10001,STP70206,505
DEP10001,STP70208,513
DEP10001,STP70211,25
DEP10001,STP70227,496
DEP10001,STP70228,499
DEP10001,STP70240,518
DEP10001,STP70252,131
DEP10001,STP70255,505
DEP10001,STP70258,23
DEP10001,STP70259,24
DEP10001,STP70261,23
DEP10001,STP70265,148
DEP10001,STP70267,15
DEP10001,STP70274,13
DEP10001,STP70275,506
DEP10001,STP70277,487
DEP10001,STP70286,9
DEP10001,STP70301,512
DEP10001,STP70309,138
DEP10001,STP70311,28
DEP10001,STP70326,134
DEP10001,STP70335,7
DEP10001,STP70336,534
DEP10001,STP70348,27
DEP10001,STP70355,509
DEP10001,STP70359,490
DEP10001,STP70366,512
DEP10001,STP70387,496
DEP10001,STP70390,20
DEP10001,STP70398,137
DEP10001,STP70400,491
DEP10001,STP70406,497
DEP10001,STP70412,20
DEP10001,STP70415,22
DEP10001,STP70434,119
DEP10001,STP70446,12
DEP10001,STP70451,499
DEP10001,STP70488,138
DEP10001,STP70489,10
DEP10001,STP70495,126
DEP10001,STP70498,25
DEP10001,STP70501,141
DEP10001,STP70503,25
DEP10001,STP70506,502
DEP10001,STP70513,14
DEP10001,STP70525,509
DEP10001,STP70529,15
DEP10001,STP70533,13
DEP10001,STP70535,486
DEP10001,STP70539,489
DEP10001,STP70565,496
DEP10001,STP70566,496
DEP10001,STP70573,485
DEP10001,STP70598,513
